fuel_type,body_type,km_driven,owner,price,manufacturing_year,link,features,oem,model,registration_year,Mileage,Seats,transmission,variantName,City
Petrol,Hatchback,100000,Second Owner,220000,2006,https://www.cardekho.com/used-car-details/used-Hyundai-Getz-Gls-cars-Bangalore_8ffacf85-97c3-4b12-b134-db8a1906e775.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Child Safety Locks, Passenger Side Rear View Mirror, Cassette Player",Hyundai,Hyundai Getz,2006,15.3,5,Manual,GLS,Bangalore
Diesel,Sedan,110000,First Owner,695000,2014,https://www.cardekho.com/used-car-details/used-Skoda-Rapid-1.5-Tdi-Ambition-With-Alloy-Wheel-cars-Bangalore_51bd732c-7586-4c61-83b0-2cd00e0cf949.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",Skoda,Skoda Rapid,2014,21.14,5,Manual,1.5 TDI Ambition With Alloy Wheel,Bangalore
Diesel,Hatchback,110000,First Owner,690000,2018,https://www.cardekho.com/used-car-details/used-Maruti-Swift-Vdi-cars-Bangalore_777958c4-d421-42e9-895c-71b4c18e6181.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Brake Assist, Cd Player",Maruti,Maruti Swift,2018,28.4,5,Manual,VDI,Bangalore
Diesel,Sedan,100000,First Owner,650000,2015,https://www.cardekho.com/used-car-details/used-Maruti-Ciaz-Vdi-Plus-cars-Bangalore_225610a9-a5ec-485e-b726-c804953508e5.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",Maruti,Maruti Ciaz,2015,26.21,5,Manual,VDi Plus,Bangalore
Diesel,MUV,70000,First Owner,750000,2016,https://www.cardekho.com/used-car-details/used-Renault-Lodgy-110ps-Rxz-7-Seater-cars-Bangalore_5b719df8-e21d-49a4-94b9-cb593b9d89de.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Radio",Renault,Renault Lodgy,2016,19.98,7,Manual,110PS RxZ 7 Seater,Bangalore
Petrol,Hatchback,60000,Second Owner,420000,2014,https://www.cardekho.com/used-car-details/used-Maruti-Ritz-Vxi-cars-Bangalore_d3fdf13d-2cf5-4dcf-af03-a1e958a15d00.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Centeral Locking, Power Door Locks",Maruti,Maruti Ritz,2014,18.5,5,Manual,VXi,Bangalore
Petrol,Hatchback,60000,Second Owner,420000,2014,https://www.cardekho.com/used-car-details/used-Maruti-Ritz-Vxi-cars-Bangalore_20d818ed-ee2e-4568-a961-7a122e775cb1.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Centeral Locking, Power Door Locks",Maruti,Maruti Ritz,2014,18.5,5,Manual,VXi,Bangalore
Petrol,Hatchback,10000,First Owner,919999,2021,https://www.cardekho.com/used-car-details/used-Hyundai-I20-Asta-Turbo-Imt-Dt-cars-Bangalore_70038097-debd-4a31-a668-4cce2d84651c.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",Hyundai,Hyundai i20,2021,20,5,Manual,Asta Turbo iMT DT,Bangalore
Petrol,Hatchback,90000,Third Owner,850000,2013,https://www.cardekho.com/used-car-details/used-Volkswagen-Polo-Gt-Tsi-cars-Bangalore_2cd64a10-86c9-4eb8-98b0-815f32556a60.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",Volkswagen,Volkswagen Polo,2013,17.2,5,Automatic,GT TSI,Bangalore
Diesel,Hatchback,70000,Second Owner,388000,2014,https://www.cardekho.com/used-car-details/used-Hyundai-Grand-I10-Crdi-Era-cars-Bangalore_5395b57d-847a-4c6a-8f40-8e707d17039e.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Child Safety Locks, Day Night Rear View Mirror",Hyundai,Hyundai Grand i10,2014,24,5,Manual,CRDi Era,Bangalore
